-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Torch-Compiled Region: 0/9         2.42%     197.841ms         3.45%     281.605ms      78.224us       0.000us         0.00%     248.618ms      69.060us           0 B           0 B     168.75 GB     168.75 GB          3600  
Cijk_Ailk_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     237.888ms         7.31%     237.888ms      33.040us           0 B           0 B           0 B           0 B          7200  
                                            aten::copy_         1.52%     124.034ms         2.83%     231.206ms       7.739us     191.822ms         5.90%     191.822ms       6.421us           0 B           0 B           0 B           0 B         29876  
                                               aten::to         0.60%      48.732ms         5.80%     473.371ms       6.765us       0.000us         0.00%     191.135ms       2.731us           0 B           0 B     274.81 MB           0 B         69976  
                                         aten::_to_copy         1.35%     109.760ms         5.20%     424.639ms      14.358us       0.000us         0.00%     191.135ms       6.463us           0 B           0 B     274.81 MB           0 B         29575  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     160.217ms         4.92%     160.217ms       7.392us           0 B           0 B           0 B           0 B         21673  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     136.116ms         4.18%     136.116ms       9.260us           0 B           0 B           0 B           0 B         14700  
                                           aten::linear         0.00%     216.959us         0.05%       4.154ms      41.535us       0.000us         0.00%     132.381ms       1.324ms           0 B           0 B      29.00 MB           0 B           100  
Cijk_Alik_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     132.381ms         4.07%     132.381ms       1.324ms           0 B           0 B           0 B           0 B           100  
                                             aten::mean         1.21%      99.064ms         1.78%     145.038ms      10.003us     132.333ms         4.07%     132.333ms       9.126us           0 B           0 B       7.08 MB       7.08 MB         14500  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     132.333ms         4.07%     132.333ms       9.126us           0 B           0 B           0 B           0 B         14500  
                                              aten::cat         1.23%     100.682ms         2.15%     175.103ms      11.912us     125.437ms         3.86%     125.437ms       8.533us           0 B           0 B     774.33 MB     774.33 MB         14700  
                             Torch-Compiled Region: 0/7         2.54%     207.084ms         3.63%     296.407ms      82.335us       0.000us         0.00%     115.356ms      32.043us           0 B           0 B      70.31 GB      70.31 GB          3600  
Cijk_Ailk_Bljk_HHS_BH_MT32x32x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     101.895ms         3.13%     101.895ms      14.152us           0 B           0 B           0 B           0 B          7200  
                             Torch-Compiled Region: 0/5         2.53%     206.199ms         3.63%     296.115ms      82.254us       0.000us         0.00%      97.624ms      27.118us           0 B           0 B      70.31 GB      70.31 GB          3600  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      94.200ms         2.90%      94.200ms       6.497us           0 B           0 B           0 B           0 B         14500  
                                              aten::neg         0.48%      38.945ms         0.78%      63.720ms       8.850us      91.182ms         2.80%      91.182ms      12.664us           0 B           0 B      17.93 MB      17.93 MB          7200  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      91.182ms         2.80%      91.182ms      12.664us           0 B           0 B           0 B           0 B          7200  
                                              aten::add         2.19%     178.638ms         3.32%     270.888ms       9.309us      70.286ms         2.16%      70.286ms       2.415us           0 B           0 B      78.90 MB      78.90 MB         29100  
                                              aten::pow         1.34%     109.063ms         1.91%     155.601ms      10.731us      69.248ms         2.13%      69.248ms       4.776us           0 B           0 B     144.43 MB     144.43 MB         14500  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      69.248ms         2.13%      69.248ms       4.776us           0 B           0 B           0 B           0 B         14500  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      67.946ms         2.09%      67.946ms       9.343us           0 B           0 B           0 B           0 B          7272  
                     aten::scaled_dot_product_attention         0.34%      27.817ms         2.67%     217.616ms      60.449us       0.000us         0.00%      61.369ms      17.047us           0 B           0 B      28.70 MB      -5.26 MB          3600  
              aten::_scaled_dot_product_flash_attention         0.26%      20.953ms         2.31%     188.422ms      52.339us       0.000us         0.00%      61.369ms      17.047us           0 B           0 B      33.96 MB           0 B          3600  
                         aten::_flash_attention_forward         0.62%      50.798ms         1.68%     136.728ms      37.980us      61.278ms         1.88%      61.369ms      17.047us           0 B           0 B      33.96 MB     -18.00 KB          3600  
                                               attn_fwd         0.00%       0.000us         0.00%       0.000us       0.000us      61.278ms         1.88%      61.278ms      17.022us           0 B           0 B           0 B           0 B          3600  
                             Torch-Compiled Region: 0/6         4.96%     404.866ms         7.09%     578.419ms      80.336us       0.000us         0.00%      60.038ms       8.339us           0 B           0 B      35.16 GB      35.16 GB          7200  
                                            aten::rsqrt         0.77%      62.672ms         1.25%     102.166ms       7.046us      56.843ms         1.75%      56.843ms       3.920us           0 B           0 B       7.08 MB       7.08 MB         14500  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      56.843ms         1.75%      56.843ms       3.920us           0 B           0 B           0 B           0 B         14500  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      55.987ms         1.72%      55.987ms       7.855us           0 B           0 B           0 B           0 B          7128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.505ms         1.68%      54.505ms       3.708us           0 B           0 B           0 B           0 B         14700  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      34.577ms         1.06%      34.577ms       2.413us           0 B           0 B           0 B           0 B         14328  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      34.552ms         1.06%      34.552ms       2.383us           0 B           0 B           0 B           0 B         14500  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.957ms         0.83%      26.957ms       2.490us           0 B           0 B           0 B           0 B         10827  
                                             aten::silu         0.39%      32.016ms         0.55%      45.162ms      12.545us      17.565ms         0.54%      17.565ms       4.879us           0 B           0 B      68.13 MB      68.13 MB          3600  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.565ms         0.54%      17.565ms       4.879us           0 B           0 B           0 B           0 B          3600  
                                             aten::isin         0.01%       1.118ms         0.06%       5.058ms      50.082us       0.000us         0.00%       1.612ms      15.965us           0 B           0 B      50.50 KB     -50.50 KB           101  
                                           aten::argmax         0.01%       1.216ms         0.03%       2.242ms      22.415us       1.593ms         0.05%       1.593ms      15.929us           0 B           0 B      50.00 KB      50.00 KB           100  
                                               aten::eq         0.03%       2.054ms         0.04%       3.197ms      10.620us       1.537ms         0.05%       1.537ms       5.105us           0 B           0 B     150.50 KB     150.50 KB           301  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.324ms         0.04%       1.324ms       2.196us           0 B           0 B           0 B           0 B           603  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.159s
Self CUDA time total: 3.254s
