-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Torch-Compiled Region: 0/9         2.44%     189.816ms         3.48%     271.032ms      75.287us       0.000us         0.00%     253.921ms      70.534us           0 B           0 B     168.75 GB     168.75 GB          3600  
Cijk_Ailk_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     235.679ms         7.34%     235.679ms      32.733us           0 B           0 B           0 B           0 B          7200  
                                            aten::copy_         1.50%     117.156ms         2.79%     217.765ms       7.289us     168.686ms         5.25%     168.686ms       5.646us           0 B           0 B           0 B           0 B         29876  
                                               aten::to         0.55%      42.966ms         5.68%     442.272ms       6.320us       0.000us         0.00%     167.992ms       2.401us           0 B           0 B     274.81 MB           0 B         69976  
                                         aten::_to_copy         1.33%     104.029ms         5.12%     399.307ms      13.501us       0.000us         0.00%     167.992ms       5.680us           0 B           0 B     274.81 MB           0 B         29575  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     156.708ms         4.88%     156.708ms       7.231us           0 B           0 B           0 B           0 B         21673  
                                           aten::linear         0.00%     188.823us         0.05%       3.917ms      39.170us       0.000us         0.00%     134.814ms       1.348ms           0 B           0 B      29.00 MB           0 B           100  
Cijk_Alik_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     134.814ms         4.20%     134.814ms       1.348ms           0 B           0 B           0 B           0 B           100  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     127.334ms         3.96%     127.334ms       8.662us           0 B           0 B           0 B           0 B         14700  
                                             aten::mean         1.22%      95.233ms         1.79%     139.487ms       9.620us     127.201ms         3.96%     127.201ms       8.772us           0 B           0 B       7.08 MB       7.08 MB         14500  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     127.201ms         3.96%     127.201ms       8.772us           0 B           0 B           0 B           0 B         14500  
                                              aten::cat         1.22%      95.237ms         2.12%     165.561ms      11.263us     118.596ms         3.69%     118.596ms       8.068us           0 B           0 B     774.33 MB     774.33 MB         14700  
                             Torch-Compiled Region: 0/7         2.60%     202.616ms         3.70%     288.709ms      80.197us       0.000us         0.00%     113.032ms      31.398us           0 B           0 B      70.31 GB      70.31 GB          3600  
                             Torch-Compiled Region: 0/5         2.54%     198.107ms         3.65%     284.131ms      78.925us       0.000us         0.00%     109.115ms      30.310us           0 B           0 B      70.31 GB      70.31 GB          3600  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     106.111ms         3.30%     106.111ms       7.318us           0 B           0 B           0 B           0 B         14500  
Cijk_Ailk_Bljk_HHS_BH_MT32x32x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us      97.325ms         3.03%      97.325ms      13.517us           0 B           0 B           0 B           0 B          7200  
                                              aten::neg         0.48%      37.532ms         0.80%      61.954ms       8.605us      89.446ms         2.78%      89.446ms      12.423us           0 B           0 B      17.93 MB      17.93 MB          7200  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      89.446ms         2.78%      89.446ms      12.423us           0 B           0 B           0 B           0 B          7200  
                             Torch-Compiled Region: 0/6         5.06%     394.616ms         7.20%     561.128ms      77.934us       0.000us         0.00%      67.427ms       9.365us           0 B           0 B      35.16 GB      35.16 GB          7200  
                                              aten::add         2.19%     170.440ms         3.31%     257.636ms       8.853us      63.022ms         1.96%      63.022ms       2.166us           0 B           0 B      78.90 MB      78.90 MB         29100  
                                            aten::rsqrt         0.73%      57.197ms         1.21%      94.570ms       6.522us      62.896ms         1.96%      62.896ms       4.338us           0 B           0 B       7.08 MB       7.08 MB         14500  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      62.896ms         1.96%      62.896ms       4.338us           0 B           0 B           0 B           0 B         14500  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      62.100ms         1.93%      62.100ms       8.540us           0 B           0 B           0 B           0 B          7272  
                     aten::scaled_dot_product_attention         0.35%      27.103ms         2.66%     207.395ms      57.610us       0.000us         0.00%      56.295ms      15.638us           0 B           0 B      28.70 MB      -5.26 MB          3600  
              aten::_scaled_dot_product_flash_attention         0.26%      20.377ms         2.30%     179.077ms      49.744us       0.000us         0.00%      56.295ms      15.638us           0 B           0 B      33.96 MB           0 B          3600  
                         aten::_flash_attention_forward         0.62%      48.588ms         1.66%     129.501ms      35.973us      56.208ms         1.75%      56.295ms      15.638us           0 B           0 B      33.96 MB     -18.00 KB          3600  
                                               attn_fwd         0.00%       0.000us         0.00%       0.000us       0.000us      56.208ms         1.75%      56.208ms      15.613us           0 B           0 B           0 B           0 B          3600  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      54.899ms         1.71%      54.899ms       7.702us           0 B           0 B           0 B           0 B          7128  
                                              aten::pow         1.32%     103.248ms         1.90%     148.427ms      10.236us      51.814ms         1.61%      51.814ms       3.573us           0 B           0 B     144.43 MB     144.43 MB         14500  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      51.814ms         1.61%      51.814ms       3.573us           0 B           0 B           0 B           0 B         14500  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      40.137ms         1.25%      40.137ms       2.730us           0 B           0 B           0 B           0 B         14700  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.181ms         1.00%      32.181ms       2.246us           0 B           0 B           0 B           0 B         14328  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.702ms         0.92%      29.702ms       2.048us           0 B           0 B           0 B           0 B         14500  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.982ms         0.78%      24.982ms       2.307us           0 B           0 B           0 B           0 B         10827  
                                             aten::silu         0.40%      30.951ms         0.56%      43.901ms      12.195us      17.447ms         0.54%      17.447ms       4.846us           0 B           0 B      68.13 MB      68.13 MB          3600  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.447ms         0.54%      17.447ms       4.846us           0 B           0 B           0 B           0 B          3600  
                                           aten::argmax         0.01%       1.137ms         0.03%       2.057ms      20.571us       1.594ms         0.05%       1.594ms      15.935us           0 B           0 B      50.00 KB      50.00 KB           100  
                                             aten::isin         0.01%       1.023ms         0.06%       4.668ms      46.218us       0.000us         0.00%       1.593ms      15.775us           0 B           0 B      50.50 KB     -50.50 KB           101  
                                               aten::eq         0.02%       1.945ms         0.04%       3.011ms      10.004us       1.519ms         0.05%       1.519ms       5.046us           0 B           0 B     150.50 KB     150.50 KB           301  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.327ms         0.04%       1.327ms       2.200us           0 B           0 B           0 B           0 B           603  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.793s
Self CUDA time total: 3.212s
