-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Torch-Compiled Region: 0/9         2.42%     198.818ms         3.48%     285.696ms      79.360us       0.000us         0.00%     253.957ms      70.544us           0 B           0 B     168.75 GB     168.75 GB          3600  
Cijk_Ailk_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     239.418ms         7.35%     239.418ms      33.253us           0 B           0 B           0 B           0 B          7200  
                                            aten::copy_         1.46%     120.151ms         2.80%     230.300ms       7.709us     177.574ms         5.45%     177.574ms       5.944us           0 B           0 B           0 B           0 B         29876  
                                               aten::to         0.59%      48.713ms         5.74%     471.453ms       6.737us       0.000us         0.00%     176.887ms       2.528us           0 B           0 B     274.81 MB           0 B         69976  
                                         aten::_to_copy         1.35%     110.701ms         5.14%     422.741ms      14.294us       0.000us         0.00%     176.887ms       5.981us           0 B           0 B     274.81 MB           0 B         29575  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     157.507ms         4.83%     157.507ms       7.267us           0 B           0 B           0 B           0 B         21673  
                                             aten::mean         1.23%     101.138ms         1.82%     149.632ms      10.319us     135.947ms         4.17%     135.947ms       9.376us           0 B           0 B       7.08 MB       7.08 MB         14500  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     135.947ms         4.17%     135.947ms       9.376us           0 B           0 B           0 B           0 B         14500  
                                           aten::linear         0.00%     201.884us         0.05%       4.138ms      41.380us       0.000us         0.00%     132.930ms       1.329ms           0 B           0 B      29.00 MB           0 B           100  
Cijk_Alik_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     132.930ms         4.08%     132.930ms       1.329ms           0 B           0 B           0 B           0 B           100  
                                              aten::cat         1.18%      96.824ms         2.11%     173.214ms      11.783us     127.251ms         3.90%     127.251ms       8.657us           0 B           0 B     774.33 MB     774.33 MB         14700  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     120.302ms         3.69%     120.302ms       8.184us           0 B           0 B           0 B           0 B         14700  
                             Torch-Compiled Region: 0/7         2.54%     208.412ms         3.64%     298.975ms      83.049us       0.000us         0.00%     116.246ms      32.291us           0 B           0 B      70.31 GB      70.31 GB          3600  
                             Torch-Compiled Region: 0/5         2.51%     206.737ms         3.63%     298.642ms      82.956us       0.000us         0.00%     110.422ms      30.673us           0 B           0 B      70.31 GB      70.31 GB          3600  
Cijk_Ailk_Bljk_HHS_BH_MT32x32x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us      99.303ms         3.05%      99.303ms      13.792us           0 B           0 B           0 B           0 B          7200  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      94.264ms         2.89%      94.264ms       6.501us           0 B           0 B           0 B           0 B         14500  
                                              aten::neg         0.47%      38.972ms         0.79%      64.899ms       9.014us      90.701ms         2.78%      90.701ms      12.597us           0 B           0 B      17.93 MB      17.93 MB          7200  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      90.701ms         2.78%      90.701ms      12.597us           0 B           0 B           0 B           0 B          7200  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      68.870ms         2.11%      68.870ms       9.471us           0 B           0 B           0 B           0 B          7272  
                                              aten::add         2.18%     179.036ms         3.35%     275.629ms       9.472us      66.711ms         2.05%      66.711ms       2.292us           0 B           0 B      78.90 MB      78.90 MB         29100  
                             Torch-Compiled Region: 0/6         4.99%     410.090ms         7.13%     586.054ms      81.396us       0.000us         0.00%      66.067ms       9.176us           0 B           0 B      35.16 GB      35.16 GB          7200  
                                              aten::pow         1.33%     109.137ms         1.93%     158.724ms      10.946us      62.598ms         1.92%      62.598ms       4.317us           0 B           0 B     144.43 MB     144.43 MB         14500  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      62.598ms         1.92%      62.598ms       4.317us           0 B           0 B           0 B           0 B         14500  
                     aten::scaled_dot_product_attention         0.34%      27.954ms         2.66%     218.296ms      60.638us       0.000us         0.00%      62.032ms      17.231us           0 B           0 B      28.70 MB      -5.26 MB          3600  
              aten::_scaled_dot_product_flash_attention         0.26%      21.032ms         2.30%     189.052ms      52.514us       0.000us         0.00%      62.032ms      17.231us           0 B           0 B      33.96 MB           0 B          3600  
                         aten::_flash_attention_forward         0.61%      50.471ms         1.67%     137.103ms      38.084us      61.937ms         1.90%      62.032ms      17.231us           0 B           0 B      33.96 MB     -18.00 KB          3600  
                                               attn_fwd         0.00%       0.000us         0.00%       0.000us       0.000us      61.937ms         1.90%      61.937ms      17.205us           0 B           0 B           0 B           0 B          3600  
                                            aten::rsqrt         0.76%      62.252ms         1.26%     103.784ms       7.158us      60.074ms         1.84%      60.074ms       4.143us           0 B           0 B       7.08 MB       7.08 MB         14500  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      60.074ms         1.84%      60.074ms       4.143us           0 B           0 B           0 B           0 B         14500  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      56.718ms         1.74%      56.718ms       7.957us           0 B           0 B           0 B           0 B          7128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      56.071ms         1.72%      56.071ms       3.814us           0 B           0 B           0 B           0 B         14700  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      33.441ms         1.03%      33.441ms       2.334us           0 B           0 B           0 B           0 B         14328  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.109ms         0.99%      32.109ms       2.214us           0 B           0 B           0 B           0 B         14500  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      25.163ms         0.77%      25.163ms       2.324us           0 B           0 B           0 B           0 B         10827  
                                             aten::silu         0.39%      32.159ms         0.56%      46.133ms      12.815us      17.545ms         0.54%      17.545ms       4.874us           0 B           0 B      68.13 MB      68.13 MB          3600  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.545ms         0.54%      17.545ms       4.874us           0 B           0 B           0 B           0 B          3600  
                                             aten::isin         0.01%       1.063ms         0.06%       4.906ms      48.575us       0.000us         0.00%       1.613ms      15.967us           0 B           0 B      50.50 KB     -50.50 KB           101  
                                               aten::eq         0.02%       1.973ms         0.04%       3.113ms      10.342us       1.604ms         0.05%       1.604ms       5.328us           0 B           0 B     150.50 KB     150.50 KB           301  
                                           aten::argmax         0.01%       1.168ms         0.03%       2.134ms      21.335us       1.602ms         0.05%       1.602ms      16.020us           0 B           0 B      50.00 KB      50.00 KB           100  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.301ms         0.04%       1.301ms       2.157us           0 B           0 B           0 B           0 B           603  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.220s
Self CUDA time total: 3.259s
